"#","No","Issue Title","Issue Details","State","Labels","User name","created","Updated"
"","4711","How to create new dropwizard project","the maven command i have tried is not worring so anyone can help me on this, `mvn archetype:generate -DarchetypeGroupId=io.dropwizard.archetypes -DarchetypeArtifactId=demo-project -DarchetypeVersion=2.0.12`","closed","","prateekbangre","2022-02-14T22:12:44Z","2022-02-19T11:28:57Z"
"","4607","Deprecate `LocalIpFilter`","The interface `LocalIpFilter` is only used by `NetUtil`. Since `NetUtil` was marked as deprecated in #4584 to restrict access to package-private, I guess this should be done for `LocalIpFilter` too.","closed","","zUniQueX","2022-01-13T21:36:03Z","2022-02-28T20:14:04Z"
"","4740","Revert ""Set baseline to Java 11 and update CI workflows accordingly""","The change should've been against `release/3.0.x` and not against `master`  Reverts dropwizard/dropwizard#4726","closed","task,","joschi","2022-02-18T09:58:35Z","2022-02-18T10:32:31Z"
"","5137","Revert ""Add automatic module names for all Dropwizard modules""","The automatic module name causes issues when generating Javadoc during the release process.  Let's revert that particular change so we can get the first beta builds out of the door and take care of it when we have more time to take care of the issues.  `release/3.0.x`: https://github.com/dropwizard/dropwizard/runs/5875633807?check_suite_focus=true#step:4:3444 ```text Error:  Failed to execute goal org.apache.maven.plugins:maven-javadoc-plugin:3.3.2:jar (attach-javadocs) on project dropwizard-jersey: MavenReportException: Error while generating Javadoc:  Error:  Exit code: 1 - /home/runner/work/dropwizard/dropwizard/dropwizard-jersey/src/main/java/io/dropwizard/jersey/DropwizardResourceConfig.java:29: error: cannot find symbol Error:  import javax.annotation.Nullable; Error:                         ^ Error:    symbol:   class Nullable Error:    location: package javax.annotation [...] Error:  Command line was: /usr/lib/jvm/temurin-11-jdk-amd64/bin/javadoc @options @packages Error:   Error:  Refer to the generated Javadoc files in '/home/runner/work/dropwizard/dropwizard/dropwizard-jersey/target/apidocs' dir. ```   `release/4.0.x`: https://github.com/dropwizard/dropwizard/runs/5875544966?check_suite_focus=true#step:4:10598 ```text Error:  Failed to execute goal org.apache.maven.plugins:maven-javadoc-plugin:3.3.2:jar (attach-javadocs) on project dropwizard-testing: MavenReportException: Error while generating Javadoc:  Error:  Exit code: 1 - /home/runner/work/dropwizard/dropwizard/dropwizard-testing/src/main/java/io/dropwizard/testing/common/DropwizardTestResourceConfig.java:22: error: cannot access ResourceConfig Error:  class DropwizardTestResourceConfig extends DropwizardResourceConfig { Error:  ^ Error:    class file for org.glassfish.jersey.server.ResourceConfig not found Error:  /home/runner/work/dropwizard/dropwizard/dropwizard-testing/src/main/java/io/dropwizard/testing/junit5/DropwizardExtensionsSupport.java:8: error: package org.junit.platform.commons.util is not visible Error:  import org.junit.platform.commons.util.ReflectionUtils; Error:                                   ^ Error:    (package org.junit.platform.commons.util is declared in module org.junit.platform.commons, which does not export it to module io.dropwizard.testing) Error:   Error:  Command line was: /usr/lib/jvm/temurin-11-jdk-amd64/bin/javadoc @options @packages ```  This reverts commit da2b0540d58b5e8057d77c4b2cda5a19a241a92d. Refs #2926 Refs #5136","closed","task,","joschi","2022-04-08T09:18:16Z","2022-04-08T09:46:24Z"
"","4613","Unstable test in `dropwizard-health`","The `HealthCheckManagerTest` in the `dropwizard-health` package seems to be unstable on Appveyor. The recent Appveyor builds seemed all to run rather slow, but the slow runs may block tests long enough, such that tests could eventually fail.  Here are some log excerpts from Appveyor logs from recent pull requests: ``` 13:21:46.285 [pool-3-thread-1] INFO io.dropwizard.health.HealthCheckManagerTest$CountingHealthCheck - count=1 13:21:46.297 [pool-3-thread-1] INFO io.dropwizard.health.HealthCheckManagerTest$CountingHealthCheck - count=2 13:21:46.338 [pool-3-thread-1] INFO io.dropwizard.health.HealthCheckManagerTest$CountingHealthCheck - count=3 13:21:46.369 [pool-3-thread-1] INFO io.dropwizard.health.HealthCheckManagerTest$CountingHealthCheck - count=4 13:21:46.374 [Thread-4] INFO io.dropwizard.health.HealthCheckManager - delayed shutdown: started (waiting 50 milliseconds) 13:21:46.380 [pool-3-thread-1] INFO io.dropwizard.health.HealthCheckManagerTest$CountingHealthCheck - count=5 13:21:46.400 [pool-3-thread-1] INFO io.dropwizard.health.HealthCheckManagerTest$CountingHealthCheck - count=6 13:21:46.416 [pool-3-thread-1] INFO io.dropwizard.health.HealthCheckManagerTest$CountingHealthCheck - count=7 13:21:46.431 [pool-3-thread-1] INFO io.dropwizard.health.HealthCheckManagerTest$CountingHealthCheck - count=8 13:21:46.431 [Thread-4] INFO io.dropwizard.health.HealthCheckManager - delayed shutdown: finished 13:21:46.447 [pool-3-thread-1] INFO io.dropwizard.health.HealthCheckManagerTest$CountingHealthCheck - count=9 13:21:46.463 [pool-3-thread-1] INFO io.dropwizard.health.HealthCheckManagerTest$CountingHealthCheck - count=10 ```  ``` 13:42:17.503 [pool-3-thread-1] INFO io.dropwizard.health.HealthCheckManagerTest$CountingHealthCheck - count=1 13:42:17.505 [Thread-4] INFO io.dropwizard.health.HealthCheckManager - delayed shutdown: started (waiting 50 milliseconds) 13:42:17.571 [pool-3-thread-1] INFO io.dropwizard.health.HealthCheckManagerTest$CountingHealthCheck - count=2 13:42:17.571 [Thread-4] INFO io.dropwizard.health.HealthCheckManager - delayed shutdown: finished 13:42:17.587 [pool-3-thread-1] INFO io.dropwizard.health.HealthCheckManagerTest$CountingHealthCheck - count=3 ```  As the first excerpt shows, the build can succeed and the count values from 5 to 8 are logged within the 50 milliseconds shutdown wait period. In the latter excerpt however, the `pool-3-thread-1` seems to be slow or even blocked and no log entry is written, until the shutdown wait period is over.  I'm just wondering, what to do about this. Since I've never seen CircleCI or GitHub Actions builds failing, I see no issue with the test here. And as the builds only fail sometimes on Appveyor, I also wouldn't assume a Windows issue. The only option I currently see, is to disable the Appveyor run (with disabling the test on Windows). Are there any other opinions I'm missing?","closed","improvement,","zUniQueX","2022-01-17T20:30:06Z","2022-01-21T10:32:54Z"
"","5023","Docs example code refactor","Test using `:start-after:` and `:end-before:`","closed","","zUniQueX","2022-03-22T22:26:15Z","2022-04-15T18:48:12Z"
"","4666","Increase test coverage for `HealthCheckManager`","Test the behaviour of `HealthCheckManager#healthStateView()` and `HealthCheckManager#healthStateViews()`  Question: Is it correct that when a healthcheck is removed via `HealthCheckManager#onHealthCheckRemoved()`, `HealthCheckManager#healthStateViews()` returns a collection containing `null`? Should `onHealthCheckRemoved()` remove it from the `checks` collection?  `onHealthCheckRemoved()` is never called by Dropwizard.","closed","","rhowe","2022-01-30T09:20:31Z","2022-01-31T09:05:47Z"
"","5002","Java 11 updates","Take advantage of some post-Java 8 language features","closed","","rhowe","2022-03-19T08:22:55Z","2022-03-20T18:22:12Z"
"","5191","v2.1.0-beta.8 broke use of AuthDynamicFeature with non-AuthFilter authentication filter","Starting with v2.1.0-beta.8, our use of `dropwizard-auth`'s `AuthDynamicFeature` to handle registering our custom authentication filter (read: not based on `io.dropwizard.auth.AuthFilter`) for annotated resource methods, broke.  ``` ERROR [2022-04-18 18:49:12,871] org.glassfish.grizzly.servlet.ServletHandler: service exception: ! java.lang.IllegalArgumentException: The filter must be an instance of AuthFilter ! at io.dropwizard.auth.InjectingFilter.(InjectingFilter.java:34) ! at io.dropwizard.auth.AuthDynamicFeature.registerAuthFilter(AuthDynamicFeature.java:102) ! at io.dropwizard.auth.AuthDynamicFeature.registerAuthFilter(AuthDynamicFeature.java:95) ! at io.dropwizard.auth.AuthDynamicFeature.configure(AuthDynamicFeature.java:67) ```  Because we need additional behavior beyond what the `AuthFilter` provides, we create our own `ContainerRequestFilter` and register that using `io.dropwizard.auth.AuthDynamicFeature` from the dropwizard-auth module so that we can use the various JAX-RS authz annotations (e.g. `RolesAllowed`, `PermitAll`) as well as the `@Auth` annotation from Dropwizard in order to control which resource methods the authentication filter is applied to.   This has worked fine with previous versions of Dropwizard and has been working fine even with v2.1.0-beta.7.   It looks like the change in behavior was introduced as part of this PR: https://github.com/dropwizard/dropwizard/pull/4563 The change looks like it is now wrapping the user's provided ContainerRequestFilter instance inside another ContainerRequestFilter named `InjectingFilter`. The `InjectingFilter` is throwing the error because my ContainerRequestFilter is not an instanceof `AuthFilter` (line 34).   CC: @zUniQueX","closed","bug,","pstackle","2022-04-19T02:56:13Z","2022-04-20T17:51:13Z"
"","4670","Avoid shadowing class fields with local variables","Sonar isn't a fan of this. Coming up with pleasing alternate names for these variables isn't easy, however.","closed","","rhowe","2022-02-01T11:55:41Z","2022-02-01T13:12:19Z"
