"#","No","Issue Title","Issue Details","State","Labels","User name","created","Updated"
"","1549","Can not download MMS (Czech Rep., O2)","When I try to download contents of a MMS, I always get a failure to reach the server. The log is here: http://hastebin.com/piveravogo The phone is configured according to operator: http://www.o2.cz/osobni/techzona-mobilni-telefony/296276-samsung_i8190_galaxy_s_iii_mini.html?article=297753 (when I tried to enter the same values to respective settings in TextSecure, there was no change) I didn't have any issues with MMS receiving before I switched to TextSecure.","closed","mms,","djasa","2014-06-03T13:34:24Z","2014-08-27T07:06:40Z"
"","1832","Compilation error with Android Support Library, revision 20","When I try to compile with ./gradlew build I get an error message that the version 19 of the Android support library is required, but the Android SDK only let me install version 20.  So please update the compatibility to the latest version.  Could this be done automatically in future?  The changes in the library are denoted here: http://developer.android.com/tools/support-library/index.html#revisions","closed","","martinstingl","2014-08-14T08:10:13Z","2014-08-15T06:41:18Z"
"","2169","Wrongly displays ""Error sending message"" in groupchat.","When I send a message in this groupchat it SOMETIMES displays ""Error sending message"". If I then check the details of the message it shows that it tried sending by MMS. However the other people in the groupchat do receive the message and do so as a push message.  In the TextSecure settings I have SMS completely disabled (and so by extension also MMS).  My TextSecure version is 2.3.2. I have an Cyanogenmod rom installed.  This is the link to the part of my logcat where I tried sending a message in the groupchat that I got by adb (I deleted the phone numbers):  https://gist.github.com/lamade10/29b322679d2f1260ab71","closed","","lamade10","2014-12-01T21:07:54Z","2015-11-02T22:35:51Z"
"","2182","Can't click MMS notification","When I receive an MMS, I get a notification which contains a preview of the message. With MMS, when I tap the notification, it does nothing. I can tap it many times and it does not open the message/thread in TextSecure. SMS works properly, though. When I click an SMS notification, it opens the TextSecure app.  If further explanation is needed, I could probably provide a video.","closed","mms,","jjculber","2014-12-04T00:27:46Z","2015-03-20T23:04:28Z"
"","1300","Can only receive 1st picture on mms with multiple pictures attached","When I receive an mms from an iPhone with multiple pictures attached, I only get the first one. I'm on AT&T, using an Android 4.4 phone.","closed","mms,","jkanethird","2014-04-05T18:13:29Z","2018-04-02T21:22:47Z"
"","1845","Allow SMS fallback also when connected","When I know the recipient is not connected I would like to send an SMS. Currently I work around this by disabling wlan, sending the message with the SMS fallback, and reenabling wlan. Could you add a right click option to use SMS although one is connected?","closed","","ghost","2014-08-17T13:10:59Z","2014-08-17T13:16:57Z"
"","1559","Installation sent a random text","When I installed TextSecure, it seemed to forward an old text message to one of my friends.  It was a message sent previously on 4/9.  Installation date was 6/5.  Motorolla RAZR Maxx Android 4.1.2","closed","","ghost","2014-06-05T20:59:24Z","2014-10-16T09:29:03Z"
"","1918","Delete message fails when call phone number selected","When I get a message containing only (or almost only) a phone number and I want to delete it this is quite difficult. When I long press the message, Textsecure both shows the upper toolbar with the delete button and I get a complete action dialog box from Android offering several ways to call the number (phone, skype, strangely not Redphone which I have also installed).  When I press back to remove this dialog and then press the delete button it does nothing (well, at leat it does not delete the selected message). It doesn't show any message or error.","closed","","johanw666","2014-09-15T09:49:44Z","2015-03-16T18:09:31Z"
"","1578","can not reset pass phrase","when i first set it up, i chose a pass phrase, and was walked through some prompts that left me with a 6 digit number, i stupidly thought this 6 digit number was what i needed to enter the program, and promptly forgot my pass phrase, I have tried uninstalling the program, but continue to get encrypted texts that i can not access as i have forgotten the pass phrase. what can i do about this? I tried to reinstall, but was informed it was already installed even though i uninstalled it.","closed","","brianevery","2014-06-09T21:59:24Z","2014-06-09T22:01:23Z"
"","2119","Missing Library File Error, or Intentional Block?","When I edited the ""platform.xml"" file to allow 3rd party apps to write to SD card, the TextSecure app was removed from app drawer and would not re-install, giving an error that there was a ""Missing library file.""  Upon reverting the change the app's icon again appeared in my app drawer.","closed","","Ryezen","2014-11-23T00:36:51Z","2014-11-23T03:07:54Z"
