QualifiedName,Name,Complexity,Coupling,Size,Lack of Cohesion,CBO,RFC,SRFC,DIT,NOC,WMC,LOC,CMLOC,NOF,NOSF,NOM,NOSM,NORM,LCOM,LCAM,LTCC,ATFD,SI,Coverage,#(C&I),#C,#I,LOC,AC,EC,Abs,Ins,ND,WMC,Coverage,MCC,NBD,LOC,#Pa,#MC,#AF
<Field>com.puppycrawl.tools.checkstyle.ConfigurationLoader->saxHandler,final saxHandler : InternalLoader,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<Field>com.puppycrawl.tools.checkstyle.ConfigurationLoader->DOLLAR_SIGN,static final DOLLAR_SIGN : char,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<Field>com.puppycrawl.tools.checkstyle.ConfigurationLoader->DTD_PUBLIC_ID_1_0,static final DTD_PUBLIC_ID_1_0 : String,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<Field>com.puppycrawl.tools.checkstyle.ConfigurationLoader->DTD_PUBLIC_ID_1_1,static final DTD_PUBLIC_ID_1_1 : String,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<Field>com.puppycrawl.tools.checkstyle.ConfigurationLoader->DTD_PUBLIC_ID_1_2,static final DTD_PUBLIC_ID_1_2 : String,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<Field>com.puppycrawl.tools.checkstyle.ConfigurationLoader->DTD_PUBLIC_ID_1_3,static final DTD_PUBLIC_ID_1_3 : String,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<Field>com.puppycrawl.tools.checkstyle.ConfigurationLoader->DTD_RESOURCE_NAME_1_0,static final DTD_RESOURCE_NAME_1_0 : String,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<Field>com.puppycrawl.tools.checkstyle.ConfigurationLoader->DTD_RESOURCE_NAME_1_1,static final DTD_RESOURCE_NAME_1_1 : String,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<Field>com.puppycrawl.tools.checkstyle.ConfigurationLoader->DTD_RESOURCE_NAME_1_2,static final DTD_RESOURCE_NAME_1_2 : String,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<Field>com.puppycrawl.tools.checkstyle.ConfigurationLoader->DTD_RESOURCE_NAME_1_3,static final DTD_RESOURCE_NAME_1_3 : String,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<Field>com.puppycrawl.tools.checkstyle.ConfigurationLoader->LOG,static final LOG : Log,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<Field>com.puppycrawl.tools.checkstyle.ConfigurationLoader->UNABLE_TO_PARSE_EXCEPTION_PREFIX,static final UNABLE_TO_PARSE_EXCEPTION_PREFIX : String,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
com.puppycrawl.tools.checkstyle.DefaultConfiguration,DefaultConfiguration,low,low,low,low,2,21,11,1,0,12,40,34,4,1,10,0,0,0.867,0.467,0.778,0,0,,,,,40,,,,,,12,,,,,,,
<Method>com.puppycrawl.tools.checkstyle.DefaultConfiguration.public DefaultConfiguration( String ): void,DefaultConfiguration( String ): void,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,1,0,1
